circuit_id,country,circuit_name
1,Abu Dhabi,Yas Marina Circuit
2,Argentina,Autódromo Juan y Oscar Gálvez
3,Australia,Adelaide Street Circuit
4,Australia,Albert Park Grand Prix Circuit
5,Austria,Zeltweg Airfield
6,Austria,Red Bull Ring
7,Azerbaijan,Baku City Circuit
8,Bahrain,Bahrain International Circuit
9,Belgium,Circuit de Spa-Francorchamps
10,Belgium,Complexe Européen de Nivelles-Baulers
11,Belgium,Circuit Zolder
12,Brazil,Autódromo José Carlos Pace
13,Brazil,Autódromo Internacional do Rio de Janeiro
14,Caesar's Palace,Caesars Palace
15,Canada,Mosport International Raceway
16,Canada,Mont-Tremblant
17,Canada,Circuit Gilles-Villeneuve
18,China,Shanghai International Circuit
19,Dallas,Dallas Fair Park
20,Detroit,Detroit Street Circuit
21,Eifel,Nürburgring
22,Emilia-Romagna,Autodromo Internazionale Enzo e Dino Ferrari
23,Europe,Brands Hatch Circuit
24,Europe,Donington Park
25,Europe,Circuito Permanente de Jerez
26,Europe,Valencia Street Circuit
27,France,Circuit de Reims-Gueux
28,France,Rouen les Essarts
29,France,Charade Circuit
30,France,Bugatti Au Mans
31,France,Circuit Paul Ricard
32,France,Circuit Dijon-Prenois
33,France,Circuit de Nevers Magny-Cours
34,Germany,Automobil-Verkehrs und Übungs-Straße
35,Germany,Hockenheimring
36,Great Britain,Silverstone Circuit
37,Great Britain,Aintree Racecourse
38,Hungary,Hungaroring
39,India,Buddh International Circuit
40,Indianapolis,Indianapolis Motor Speedway
41,Italy,Autodromo Nazionale Monza
42,Japan,Fuji Speedway
43,Japan,Suzuka Circuit
44,Las Vegas,Las Vegas Strip Circuit
45,Malaysia,Sepang International Circuit
46,Mexico,Autódromo Hermanos Rodríguez
47,Miami,Miami International Autodrome
48,Monaco,Circuit de Monaco
49,Morocco,Ain-Diab Circuit
50,Netherlands,Circuit Zandvoort
51,Pacific,TI Circuit Aida
52,Pescara,Pescara Circuit
53,Portugal,Circuit da Boavista
54,Portugal,Monsanto Park
55,Portugal,Autódromo do Estoril
56,Portugal,Autódromo Internacional do Algarve
57,Qatar,Lusail International Circuit
58,Russia,Sochi Autodrom
59,Sakhir,Bahrain International Circuit – Outer Track
60,Saudi Arabia,Jeddah Corniche Circuit
61,Singapore,Marina Bay Street Circuit
62,South Africa,Prince George Circuit
63,South Africa,Kyalami Grand Prix Circuit
64,South Korea,Korean International Circuit
65,Spain,Circuit de Pedralbes
66,Spain,Circuito Permanente del Jarama
67,Spain,Montjuïc Circuit
68,Spain,Circuit de Barcelona-Catalunya
69,specific-country,circuit_name
70,Sweden,Scandinavian Raceway
71,Switzerland,Bremgarten
72,Turkey,Intercity Istanbul Park
73,Tuscany,Mugello
74,United States,Sebring Raceway
75,United States,Riverside International Raceway
76,United States,Watkins Glen International
77,United States,Phoenix Street Circuit
78,United States,Circuit of The Americas
79,USA West,Long Beach Street Circuit
