race_id,circuit_name,race_name,unfiltered_race_date,race_date
1,Yas Marina Circuit,FORMULA 1 ETIHAD AIRWAYS ABU DHABI GRAND PRIX  , 26 Nov 2023,2023-11-26
2,Las Vegas Strip Circuit,FORMULA 1 HEINEKEN SILVER LAS VEGAS GRAND PRIX , 18 Nov 2023,2023-11-18
3,Autódromo José Carlos Pace,FORMULA 1 ROLEX GRANDE PRÃŠMIO DE PAULO , 05 Nov 2023,2023-11-05
4,Autódromo Hermanos Rodríguez,FORMULA 1 GRAN PREMIO DE LA CIUDAD DE MÃ‰XICO , 29 Oct 2023,2023-10-29
5,Circuit of The Americas,FORMULA 1 LENOVO UNITED STATES GRAND PRIX , 22 Oct 2023,2023-10-22
6,Lusail International Circuit,FORMULA 1 QATAR AIRWAYS QATAR GRAND PRIX , 08 Oct 2023,2023-10-08
7,Suzuka Circuit,FORMULA 1 LENOVO JAPANESE GRAND PRIX  , 24 Sep 2023,2023-09-24
8,Marina Bay Street Circuit,FORMULA 1 SINGAPORE GRAND PRIX  , 17 Sep 2023,2023-09-17
9,Autodromo Nazionale Monza,FORMULA 1 PIRELLI GRAN ITALIA  , 03 Sep 2023,2023-09-03
10,Circuit Zandvoort,FORMULA 1 HEINEKEN DUTCH GRAND PRIX , 27 Aug 2023,2023-08-27
11,Circuit de Spa-Francorchamps,FORMULA 1 MSC CRUISES BELGIAN GRAND PRIX , 30 Jul 2023,2023-07-30
12,Hungaroring,FORMULA 1 QATAR AIRWAYS HUNGARIAN GRAND PRIX , 23 Jul 2023,2023-07-23
13,Silverstone Circuit,FORMULA 1 ARAMCO BRITISH GRAND PRIX , 09 Jul 2023,2023-07-09
14,Red Bull Ring,FORMULA 1 ROLEX GROSSER PREIS VON , 02 Jul 2023,2023-07-02
15,Circuit Gilles-Villeneuve,FORMULA 1 PIRELLI GRAND PRIX DU CANADA , 18 Jun 2023,2023-06-18
16,Circuit de Barcelona-Catalunya,FORMULA 1 AWS GRAN PREMIO DE, 04 Jun 2023,2023-06-04
17,Circuit de Monaco,FORMULA 1 GRAND PRIX DE MONACO , 28 May 2023,2023-05-28
18,Autodromo Internazionale Enzo e Dino Ferrari,FORMULA 1 QATAR AIRWAYS GRAN DELL'EMILIA, 21 May 2023,2023-05-21
19,Miami International Autodrome,FORMULA 1 CRYPTO.COM MIAMI GRAND PRIX , 07 May 2023,2023-05-07
20,Baku City Circuit,FORMULA 1 AZERBAIJAN GRAND PRIX , 30 Apr 2023,2023-04-30
21,Albert Park Grand Prix Circuit,FORMULA 1 ROLEX AUSTRALIAN GRAND PRIX , 02 Apr 2023,2023-04-02
22,Jeddah Corniche Circuit,FORMULA 1 STC SAUDI ARABIAN GRAND PRIX , 19 Mar 2023,2023-03-19
