race_id,circuit_id,circuit_name,race_name,unfiltered_race_date,race_date
1,1,Yas Marina Circuit,2023 Abu Dhabi Grand Prix,2023-11-26,2023-11-26
2,29,Las Vegas Street Circuit,2023 Las Vegas Grand Prix,2023-11-18,2023-11-18
3,17,Autódromo José Carlos Pace,2023 São Paulo Grand Prix,2023-11-05,2023-11-05
4,18,Autódromo Hermanos Rodríguez,2023 Mexican Grand Prix,2023-10-29,2023-10-29
5,19,Circuit of the Americas,2023 United States Grand Prix,2023-10-22,2023-10-22
6,16,Losail International Circuit,2023 Qatar Grand Prix,2023-10-08,2023-10-08
7,24,Suzuka Circuit,2023 Japanese Grand Prix,2023-09-24,2023-09-24
8,25,Marina Bay Street Circuit,2023 Singapore Grand Prix,2023-09-17,2023-09-17
9,9,Autodromo Nazionale Monza,2023 Italian Grand Prix,2023-09-03,2023-09-03
10,20,Circuit Park Zandvoort,2023 Dutch Grand Prix,2023-08-27,2023-08-27
11,10,Circuit de Spa-Francorchamps,2023 Belgian Grand Prix,2023-07-30,2023-07-30
12,13,Hungaroring,2023 Hungarian Grand Prix,2023-07-23,2023-07-23
13,12,Silverstone Circuit,2023 British Grand Prix,2023-07-09,2023-07-09
14,14,Red Bull Ring,2023 Austrian Grand Prix,2023-07-02,2023-07-02
15,26,Circuit Gilles Villeneuve,2023 Canadian Grand Prix,2023-06-18,2023-06-18
16,11,Circuit de Barcelona-Catalunya,2023 Spanish Grand Prix,2023-06-04,2023-06-04
17,23,Circuit de Monaco,2023 Monaco Grand Prix,2023-05-28,2023-05-28
18,27,Miami International Autodrome,2023 Miami Grand Prix,2023-05-07,2023-05-07
19,22,Baku City Circuit,2023 Azerbaijan Grand Prix,2023-04-30,2023-04-30
20,28,Melbourne Grand Prix Circuit,2023 Australian Grand Prix,2023-04-02,2023-04-02
21,15,Jeddah Corniche Circuit,2023 Saudi Arabian Grand Prix,2023-03-19,2023-03-19
22,2,Bahrain International Circuit,2023 Bahrain Grand Prix,2023-03-05,2023-03-05
23,1,Yas Marina Circuit,2022 Abu Dhabi Grand Prix,2022-11-20,2022-11-20
