result_id,driver_id,car_number,race_id,position,race_date
1,18,1,1,1,2023-11-26
2,6,16,1,2,2023-11-26
3,14,63,1,3,2023-11-26
4,17,11,1,4,2023-11-26
5,12,4,1,5,2023-11-26
6,11,81,1,6,2023-11-26
7,4,14,1,7,2023-11-26
8,16,22,1,8,2023-11-26
9,13,44,1,9,2023-11-26
10,3,18,1,10,2023-11-26
11,21,3,1,11,2023-11-26
12,1,31,1,12,2023-11-26
13,2,10,1,13,2023-11-26
14,20,23,1,14,2023-11-26
15,8,27,1,15,2023-11-26
16,22,2,1,16,2023-11-26
17,10,24,1,17,2023-11-26
18,5,55,1,18,2023-11-26
19,9,77,1,19,2023-11-26
20,7,20,1,20,2023-11-26
21,18,1,2,1,2023-11-18
22,6,16,2,2,2023-11-18
23,17,11,2,3,2023-11-18
24,1,31,2,4,2023-11-18
25,3,18,2,5,2023-11-18
26,5,55,2,6,2023-11-18
27,13,44,2,7,2023-11-18
28,14,63,2,8,2023-11-18
29,4,14,2,9,2023-11-18
30,11,81,2,10,2023-11-18
31,2,10,2,11,2023-11-18
32,20,23,2,12,2023-11-18
33,7,20,2,13,2023-11-18
34,21,3,2,14,2023-11-18
35,10,24,2,15,2023-11-18
36,22,2,2,16,2023-11-18
37,9,77,2,17,2023-11-18
38,16,22,2,18,2023-11-18
39,8,27,2,19,2023-11-18
40,12,4,2,0,2023-11-18
41,18,1,3,1,2023-11-05
42,12,4,3,2,2023-11-05
43,4,14,3,3,2023-11-05
44,17,11,3,4,2023-11-05
45,3,18,3,5,2023-11-05
46,5,55,3,6,2023-11-05
47,2,10,3,7,2023-11-05
48,13,44,3,8,2023-11-05
49,16,22,3,9,2023-11-05
50,1,31,3,10,2023-11-05
51,22,2,3,11,2023-11-05
52,8,27,3,12,2023-11-05
53,21,3,3,13,2023-11-05
54,11,81,3,14,2023-11-05
55,14,63,3,0,2023-11-05
56,9,77,3,0,2023-11-05
57,10,24,3,0,2023-11-05
58,7,20,3,0,2023-11-05
59,20,23,3,0,2023-11-05
60,6,16,3,0,2023-11-05
61,18,1,4,1,2023-10-29
62,13,44,4,2,2023-10-29
63,6,16,4,3,2023-10-29
64,5,55,4,4,2023-10-29
65,12,4,4,5,2023-10-29
66,14,63,4,6,2023-10-29
67,21,3,4,7,2023-10-29
68,11,81,4,8,2023-10-29
69,20,23,4,9,2023-10-29
70,1,31,4,10,2023-10-29
71,2,10,4,11,2023-10-29
72,16,22,4,12,2023-10-29
73,8,27,4,13,2023-10-29
74,10,24,4,14,2023-10-29
75,9,77,4,15,2023-10-29
76,22,2,4,16,2023-10-29
77,3,18,4,17,2023-10-29
78,4,14,4,0,2023-10-29
79,7,20,4,0,2023-10-29
80,17,11,4,0,2023-10-29
81,18,1,5,1,2023-10-22
82,12,4,5,2,2023-10-22
83,5,55,5,3,2023-10-22
84,17,11,5,4,2023-10-22
85,14,63,5,5,2023-10-22
86,2,10,5,6,2023-10-22
87,3,18,5,7,2023-10-22
88,16,22,5,8,2023-10-22
89,20,23,5,9,2023-10-22
90,22,2,5,10,2023-10-22
91,8,27,5,11,2023-10-22
92,9,77,5,12,2023-10-22
93,10,24,5,13,2023-10-22
94,7,20,5,14,2023-10-22
95,21,3,5,15,2023-10-22
96,4,14,5,0,2023-10-22
97,11,81,5,0,2023-10-22
98,1,31,5,0,2023-10-22
99,13,44,5,0,2023-10-22
100,6,16,5,0,2023-10-22
101,18,1,6,1,2023-10-08
102,11,81,6,2,2023-10-08
103,12,4,6,3,2023-10-08
104,14,63,6,4,2023-10-08
105,6,16,6,5,2023-10-08
106,4,14,6,6,2023-10-08
107,1,31,6,7,2023-10-08
108,9,77,6,8,2023-10-08
109,10,24,6,9,2023-10-08
110,17,11,6,10,2023-10-08
111,3,18,6,11,2023-10-08
112,2,10,6,12,2023-10-08
113,20,23,6,13,2023-10-08
114,7,20,6,14,2023-10-08
115,16,22,6,15,2023-10-08
116,8,27,6,16,2023-10-08
117,15,40,6,17,2023-10-08
118,22,2,6,0,2023-10-08
119,13,44,6,0,2023-10-08
120,5,55,6,0,2023-10-08
121,18,1,7,1,2023-09-24
122,12,4,7,2,2023-09-24
123,11,81,7,3,2023-09-24
124,6,16,7,4,2023-09-24
125,13,44,7,5,2023-09-24
126,5,55,7,6,2023-09-24
127,14,63,7,7,2023-09-24
128,4,14,7,8,2023-09-24
129,1,31,7,9,2023-09-24
130,2,10,7,10,2023-09-24
131,15,40,7,11,2023-09-24
132,16,22,7,12,2023-09-24
133,10,24,7,13,2023-09-24
134,8,27,7,14,2023-09-24
135,7,20,7,15,2023-09-24
136,20,23,7,0,2023-09-24
137,22,2,7,0,2023-09-24
138,3,18,7,0,2023-09-24
139,17,11,7,0,2023-09-24
140,9,77,7,0,2023-09-24
141,5,55,8,1,2023-09-17
142,12,4,8,2,2023-09-17
143,13,44,8,3,2023-09-17
144,6,16,8,4,2023-09-17
145,18,1,8,5,2023-09-17
146,2,10,8,6,2023-09-17
147,11,81,8,7,2023-09-17
148,17,11,8,8,2023-09-17
149,15,40,8,9,2023-09-17
150,7,20,8,10,2023-09-17
151,20,23,8,11,2023-09-17
152,10,24,8,12,2023-09-17
153,8,27,8,13,2023-09-17
154,22,2,8,14,2023-09-17
155,4,14,8,15,2023-09-17
156,14,63,8,16,2023-09-17
157,9,77,8,0,2023-09-17
158,1,31,8,0,2023-09-17
159,16,22,8,0,2023-09-17
160,3,18,8,0,2023-09-17
161,18,1,9,1,2023-09-03
162,17,11,9,2,2023-09-03
163,5,55,9,3,2023-09-03
164,6,16,9,4,2023-09-03
165,14,63,9,5,2023-09-03
166,13,44,9,6,2023-09-03
167,20,23,9,7,2023-09-03
168,12,4,9,8,2023-09-03
169,4,14,9,9,2023-09-03
